Species,Bird,LargeBird,Fish,Mammal,Include,Unidentified,Common Name,Latin Name,ITIS,NMFS,Comment
AMCO,1,0,0,0,0,0,American Coot,Fulica americana,176292,,
ANMU,1,0,0,0,1,0,Ancient Murrelet,Synthliboramphus antiquus,177008,MUAN,
ARLO,1,0,0,0,1,0,Arctic Loon,Gavia arctica,174471,LOAR,
ARTE,1,0,0,0,1,0,Arctic Tern,Sterna paradisaea,176890,TEAR,
ASSP,1,0,0,0,1,0,Ashy Storm-Petrel,Oceanodroma homochroa,174634,SPAS,
AWPE,1,0,0,0,1,0,American White Pelican,Pelecanus erythrorhynchos,174684,,
BASH,0,0,1,0,0,0,Basking Shark,Cetorhinus maximus,159907,,
BBWH,0,0,0,1,1,0,Baird's Beaked Whale,Berardius bairdii,180496,,
BFAL,1,1,0,0,1,0,Black-Footed Albatross,Phoebastria nigripes,554379,ALBB,
BLKI,1,0,0,0,1,0,Black-Legged Kittiwake,Rissa tridactyla,176875,KIBL,
BLOY,1,0,0,0,0,0,Black Oystercatcher,Haematopus bachmani,176475,,
BLSC,1,0,0,0,1,0,Black Scoter,Melanitta nigra,175171,,
BLSH,0,0,1,0,0,0,Blue Shark,Prionace glauca,160424,,
BLSK,1,0,0,0,0,0,Black Skimmer,Rynchops niger,554447,SKBL,
BLSP,1,0,0,0,1,0,Black Storm-Petrel,Oceanodroma melania,174640,SPBL,
BLTE,1,0,0,0,0,0,Black Tern,Chlidonias niger,176959,TEBL,
BLTU,1,0,0,0,0,0,Black Turnstone,Arenaria melanocephala,176574,,
BLWH,0,0,0,1,1,0,Blue Whale,Balaenoptera musculus,180528,BAMU,
BODO,0,0,0,1,1,0,Bottlenose Dolphin,Tursiops truncatus,180426,TUTR,
BOGU,1,0,0,0,1,0,Bonaparte's Gull,Larus philadelphia,176839,GUBO,
BRAC,1,0,0,0,1,0,Brandt's Cormorant,Phalacrocorax penicillatus,174724,COBR,
BRAN,1,0,0,0,1,0,Brant,Branta bernicla,175011,,
BRBO,1,1,0,0,1,0,Brown Booby,Sula leucogaster,174704,BOBR,
BRNO,1,0,0,0,1,0,Brown Noddy,Anous stolidus,176941,NOBR,
BRPE,1,0,0,0,1,0,Brown Pelican,Pelecanus occidentalis,174685,PEBR,
BRSP,1,0,0,0,0,0,Brewer's Sparrow,Spizella breweri,179440,,
BUFF,1,0,0,0,0,0,Bufflehead,Bucephala albeola,175145,,
BULS,1,0,0,0,1,0,Buller's Shearwater,Puffinus bulleri,174552,SHNZ,
BVSH,1,0,0,0,1,0,Black-Vented Shearwater,Puffinus opisthomelas,554396,SHBV,
CAAU,1,0,0,0,1,0,Cassin's Auklet,Ptychoramphus aleuticus,177013,AUCA,
CAGU,1,0,0,0,1,0,California Gull,Larus californicus,176829,GUCA,
CASL,0,0,0,1,1,0,California Sea Lion,Zalophus californianus,180621,ZACA,
CATE,1,0,0,0,1,0,Caspian Tern,Sterna caspia,176924,TECA,
CBWH,0,0,0,1,1,0,Cuvier's Beaked Whale,Ziphius cavirostris,180498,ZICA,
CLGR,1,0,0,0,1,0,Clark's Grebe,Aechmophorus clarkii,554027,,
CODO,0,0,0,1,1,0,Common Dolphin,Delphinus delphis,180438,DEDE,
COLO,1,0,0,0,1,0,Common Loon,Gavia immer,174469,LOCO,
COMU,1,0,0,0,1,0,Common Murre,Uria aalge,176974,MUCO,
COPE,1,0,0,0,1,0,Cook's Petrel,Pterodroma cookii,554395,PECO,
COTE,1,0,0,0,1,0,Common Tern,Sterna hirundo,176888,TECO,
CRMU,1,0,0,0,1,0,Craveri's Murrelet,Synthliboramphus craveri,177010,MUCR,
CSLI,0,0,0,1,1,0,California Sea Lion,Zalophus californianus,180621,ZACA,
DAPO,0,0,0,1,1,0,Dall's Porpoise,Phocoenoides dalli,180480,,
DCCO,1,0,0,0,1,0,Double-Crested Cormorant,Phalacrocorax auritus,174717,CODC,
DKSH,1,0,0,0,1,0,Dark Shearwater,(species group),,,
DOWI,1,0,0,0,0,1,Unidentified Dowitcher,,,,
DRPE,1,0,0,0,1,0,Dark-Rumped Petrel,Pterodroma phaeopygia sandwichensis,202225,PEDR,
EAGR,1,0,0,0,1,0,Eared Grebe,Podiceps nigricollis,174485,,
ELTE,1,0,0,0,1,0,Elegant Tern,Sterna elegans,176925,TEEL,
EUST,1,0,0,0,0,0,European Starling,Sturnus vulgaris ,179637,,
FFSH,1,0,0,0,1,0,Flesh-Footed Shearwater,Puffinus carneipes,174548,SHFF,
FIWH,0,0,0,1,1,0,Fin Whale,Balaenoptera physalus,180527,BAPH,
FKWH,0,0,0,1,1,0,False Killer Whale,Pseudorca crassidens,180463,PSCR,
FOTE,1,0,0,0,1,0,Forster's Tern,Sterna forsteri,176887,TEFO,
FRGU,1,0,0,0,1,0,Franklin's Gull,Larus pipixcan,176838,GUFR,
FTSP,1,0,0,0,1,0,Fork-Tailed Storm-Petrel,Oceanodroma furcata,174625,SPFT,
GBHE,1,0,0,0,0,0,Great Blue Heron,Ardea herodias,174773,,
