"GIS key",Species,Behavior,Count
CAC19870502F2,BRSP,1,1
CAC19870502F2,REPH,1,3
CAC19870502F3,LTJA,1,1
CAC19870502F4,LHSP,1,1
CAC19870502F5,BFAL,1,1
CAC19870502F9,LHSP,1,1
CAC19870502F10,LHSP,1,3
CAC19870502F13,LHSP,1,1
CAC19870502F13,UNSP,1,3
CAC19870502F15,LHSP,1,1
CAC19870502F17,LHSP,1,1
CAC19870502F28,LHSP,1,2
CAC19870502F35,COPE,1,1
CAC19870502F36,LHSP,1,1
CAC19870502F39,COPE,1,2
CAC19870502F39,UNSP,1,1
CAC19870502F40,LHSP,1,1
CAC19870502F41,COPE,1,2
CAC19870502F42,COPE,1,1
CAC19870502F42,UNSP,1,3
CAC19870502F43,UNSP,1,1
CAC19870502F44,LHSP,1,3
CAC19870503F50,BFAL,1,1
CAC19870503F50,LHSP,1,1
CAC19870503F51,COPE,1,1
CAC19870503F52,COPE,1,1
CAC19870503F53,BRSP,1,1
CAC19870503F53,COPE,1,1
CAC19870503F54,COPE,1,3
CAC19870503F54,UNSP,1,1
CAC19870503F55,COPE,1,2
CAC19870503F56,COPE,1,3
CAC19870503F56,SOSH,1,1
CAC19870503F57,COPE,1,2
CAC19870503F62,COPE,1,1
CAC19870503F64,LHSP,1,1
CAC19870503F67,COPE,1,1
CAC19870503F68,LHSP,1,1
CAC19870503F69,COPE,1,1
CAC19870503F71,COPE,1,2
CAC19870503F72,COPE,1,1
CAC19870503F73,MUPE,1,1
CAC19870503F76,COPE,1,1
CAC19870503F78,COPE,1,3
CAC19870503F79,COPE,1,3
CAC19870503F81,COPE,1,2
CAC19870503F85,COPE,1,2
CAC19870504F97,UNSP,1,1
CAC19870504F108,REPH,1,2
CAC19870504F111,REPH,1,2
CAC19870504F115,REPH,1,1
CAC19870504F130,LHSP,1,1
CAC19870504F132,ARTE,1,2
CAC19870504F136,REPH,1,1
CAC19870505F148,POJA,1,1
CAC19870505F149,WEGU,1,1
CAC19870505F150,SOSH,1,1
CAC19870505F150,SPSK,1,1
CAC19870505F150,WEGU,1,3
CAC19870505F151,SOSH,1,1
CAC19870505F152,WEGU,1,6
CAC19870505F154,PFSH,1,1
CAC19870505F156,POJA,1,1
CAC19870505F157,WEGU,1,1
CAC19870505F158,BRPE,1,1
CAC19870505F158,SOSH,1,1
CAC19870505F160,WEGU,1,1
CAC19870505F162,SOSH,1,1
CAC19870505F162,WEGU,1,2
CAC19870505F163,SOSH,1,1
CAC19870505F163,WEGU,1,1
CAC19870505F164,SOSH,1,1
CAC19870505F164,WEGU,1,1
CAC19870505F167,SOSH,1,1
CAC19870505F168,BRPE,1,2
CAC19870505F168,SOSH,1,1
CAC19870505F168,WEGU,1,2
CAC19870505F170,BRPE,1,1
CAC19870505F170,WEGU,1,1
CAC19870505F171,PFSH,1,1
CAC19870505F172,WEGU,1,3
CAC19870505F173,WEGU,1,1
CAC19870505F174,BRPE,1,1
CAC19870505F174,NOFU,1,1
CAC19870505F174,PFSH,1,1
CAC19870505F174,SOSH,1,4
CAC19870505F174,WEGU,1,1
CAC19870505F175,CAGU,1,1
CAC19870505F175,PFSH,1,2
CAC19870505F175,POJA,1,1
CAC19870505F175,SOSH,1,1
CAC19870505F175,WEGU,1,2
CAC19870505F176,BRPE,1,4
CAC19870505F176,CAGU,1,1
CAC19870505F176,PFSH,1,5
CAC19870505F176,WEGU,1,21
CAC19870505F177,PFSH,1,2
CAC19870505F177,POJA,1,1
CAC19870505F177,WEGU,1,3
CAC19870505F178,SOSH,1,3
CAC19870505F179,WEGU,1,1
CAC19870505F180,PFSH,1,2
CAC19870505F181,WEGU,1,1
CAC19870505F182,CAGU,1,1
CAC19870505F183,CAGU,1,3
CAC19870505F183,XAMU,1,1
CAC19870505F186,WEGU,1,1
CAC19870505F187,WEGU,1,1
CAC19870505F188,CAGU,1,1
CAC19870505F189,CAGU,1,1
CAC19870505F191,WEGU,1,1
CAC19870505F194,CAGU,1,2
CAC19870506F197,CAGU,1,1
CAC19870506F200,WEGU,1,1
CAC19870506F204,BOGU,1,1
CAC19870506F206,CAGU,1,2
CAC19870506F206,UNPH,1,11
CAC19870506F207,WEGU,1,1
CAC19870506F212,RNPH,1,5
CAC19870506F212,WEGU,1,1
CAC19870506F213,CAAU,1,3
CAC19870506F213,UNBI,1,3
CAC19870506F215,RNPH,1,6
CAC19870506F215,UNPH,1,10
CAC19870506F215,WEGU,1,1
CAC19870506F216,UNCO,1,1
CAC19870506F217,UNGU,1,1
CAC19870507F224,WEGU,1,1
CAC19870507F228,WEGU,1,2
CAC19870507F237,LTJA,1,1
CAC19870507F237,WEGU,1,1
CAC19870507F242,SOSH,1,1
CAC19870507F253,UNSP,1,1
CAC19870507F260,BRSP,1,1
CAC19870507F265,UNSP,1,3
CAC19870507F266,UNSP,1,1
CAC19870508F272,COPE,1,2
CAC19870508F272,UNSP,1,1
CAC19870508F273,COPE,1,1
CAC19870508F280,COPE,1,1
CAC19870508F280,UNSP,1,2
CAC19870508F284,UNPC,1,1
CAC19870508F285,BRSP,1,2
CAC19870508F286,LHSP,1,1
CAC19870508F289,COPE,1,1
CAC19870508F290,COPE,1,1
CAC19870508F293,UNSP,1,1
CAC19870508F297,COPE,1,1
CAC19870508F297,REPH,1,1
CAC19870508F298,UNSP,1,1
CAC19870508F299,UNSP,1,1
CAC19870508F305,REPH,1,1
CAC19870508F307,COPE,1,1
CAC19870508F309,UNSP,1,1
CAC19870508F311,COPE,1,1
CAC19870508F314,LHSP,1,3
CAC19870508F315,LHSP,1,1
CAC19870508F320,UNSP,1,1
