"GIS key",Species,Behavior,Count
CPR20030928F1,BUSH,1,2
CPR20030928F2,SOSH,1,1
CPR20030928F4,SOSH,1,2
CPR20030928F5,SOSH,1,1
CPR20030928F7,SOSH,1,1
CPR20030928F8,BUSH,1,2
CPR20030928F8,NOFU,1,1
CPR20030928F8,SOSH,1,1
CPR20030928F10,FTSP,1,1
CPR20030928F10,SOSH,1,3
CPR20030928F14,BUSH,1,1
CPR20030928F14,SOSH,1,2
CPR20030928F15,BUSH,1,1
CPR20030928F16,FTSP,1,1
CPR20030928F16,NOFU,1,4
CPR20030928F16,SOSH,1,1
CPR20030928F17,NOFU,1,4
CPR20030928F18,NOFU,1,2
CPR20030928F20,BFAL,1,1
CPR20030928F20,HERG,1,1
CPR20030928F21,BUSH,1,1
CPR20030929F23,CAAU,1,2
CPR20030929F23,LHSP,1,2
CPR20030929F25,LHSP,1,3
CPR20030929F26,LHSP,1,1
CPR20030929F27,UNBI,1,1
CPR20030929F27,UNDU,1,1
CPR20030929F28,LHSP,1,6
CPR20030929F29,LHSP,1,5
CPR20030929F30,LHSP,1,4
CPR20030929F31,LHSP,1,2
CPR20030929F31,POJA,1,1
CPR20030929F32,LHSP,1,9
CPR20030929F33,LHSP,1,1
CPR20030929F34,LHSP,1,4
CPR20030929F35,LHSP,1,9
CPR20030929F36,CAAU,1,2
CPR20030929F36,LHSP,1,12
CPR20030929F37,CAAU,1,2
CPR20030929F37,LHSP,1,4
CPR20030929F38,LHSP,1,2
CPR20030929F39,LHSP,1,5
CPR20030929F41,LHSP,1,13
CPR20030929F41,WTSP,1,1
CPR20030929F42,CAAU,1,4
CPR20030929F42,LHSP,1,10
CPR20030929F43,LHSP,1,9
CPR20030929F44,LHSP,1,4
CPR20030929F45,CAAU,1,2
CPR20030929F45,LHSP,1,6
CPR20030929F46,LHSP,1,3
CPR20030929F47,LHSP,1,5
CPR20030929F48,LHSP,1,8
CPR20030929F48,VATH,1,1
CPR20030929F49,FTSP,1,1
CPR20030929F49,LHSP,1,13
CPR20030929F50,LHSP,1,14
CPR20030929F51,LHSP,1,4
CPR20030929F52,LHSP,1,5
CPR20030929F53,LHSP,1,3
CPR20030929F54,LHSP,1,8
CPR20030929F55,LHSP,1,4
CPR20030929F56,LHSP,1,2
CPR20030929F58,LHSP,1,3
CPR20030929F59,LHSP,1,6
CPR20030929F61,LHSP,1,6
CPR20030929F62,LHSP,1,6
CPR20030929F63,LHSP,1,3
CPR20030929F64,LHSP,1,3
CPR20030929F65,LHSP,1,1
CPR20030929F66,LHSP,1,4
CPR20030929F67,LHSP,1,1
CPR20030929F68,LHSP,1,4
CPR20030929F69,LHSP,1,1
CPR20030929F70,LHSP,1,2
CPR20030929F71,LHSP,1,1
CPR20030929F72,LHSP,1,2
CPR20030929F73,LHSP,1,2
CPR20030929F74,LHSP,1,3
CPR20030929F75,LHSP,1,10
CPR20030929F76,LHSP,1,3
CPR20030929F78,LHSP,1,1
CPR20030929F80,LHSP,1,2
CPR20030929F80,UNSH,1,1
CPR20030929F80,UNSP,1,1
CPR20030929F82,LHSP,1,1
CPR20030929F83,LHSP,1,1
CPR20030929F85,PESA,1,1
CPR20030929F86,LHSP,1,1
CPR20030929F87,LHSP,1,1
CPR20030929F88,LHSP,1,1
CPR20030930F90,LHSP,1,3
CPR20030930F96,LHSP,1,3
CPR20030930F97,LHSP,1,1
CPR20030930F102,LHSP,1,1
CPR20030930F103,HOPU,1,1
CPR20030930F106,BUSH,1,6
CPR20030930F109,BUSH,1,2
CPR20030930F114,FTSP,1,1
CPR20030930F119,FTSP,1,2
CPR20030930F119,HOPU,1,1
CPR20030930F119,LHSP,1,4
CPR20030930F119,TUPU,1,2
CPR20030930F123,BFAL,1,1
CPR20030930F123,FTSP,1,6
CPR20030930F126,FTSP,1,1
CPR20030930F126,MUPE,1,3
CPR20030930F131,BFAL,1,1
CPR20030930F131,MOPE,1,3
CPR20030930F141,LHSP,1,1
CPR20030930F143,MOPE,1,1
CPR20030930F144,MOPE,1,2
CPR20031001F160,FTSP,1,1
CPR20031001F167,MOPE,1,1
CPR20031001F169,MOPE,1,1
CPR20031001F174,MOPE,1,2
CPR20031001F176,SOSH,1,1
CPR20031001F177,FTSP,1,1
CPR20031001F178,MOPE,1,1
CPR20031001F179,FTSP,1,1
CPR20031001F180,NOFU,1,1
CPR20031001F182,UNBI,1,1
CPR20031001F184,MOPE,1,1
CPR20031001F185,MOPE,1,4
CPR20031001F185,NOFU,1,1
CPR20031001F186,MOPE,1,1
CPR20031001F186,NOFU,1,1
CPR20031001F188,HOPU,1,2
CPR20031001F188,LHSP,1,1
CPR20031001F188,MOPE,1,2
CPR20031001F188,SOSH,1,1
CPR20031001F188,UNSP,1,1
CPR20031001F189,MOPE,1,4
CPR20031001F189,SOSH,1,2
CPR20031001F190,FTSP,1,1
CPR20031001F190,MOPE,1,1
CPR20031001F190,NOFU,1,1
CPR20031001F190,SOSH,1,2
CPR20031001F191,NOFU,1,1
CPR20031001F192,LHSP,1,1
CPR20031001F192,MOPE,1,1
CPR20031001F193,FTSP,1,1
CPR20031001F193,LHSP,1,1
CPR20031001F193,LAAL,1,1
CPR20031001F194,MOPE,1,1
CPR20031001F194,NOFU,1,1
CPR20031001F196,LHSP,1,1
CPR20031001F196,NOFU,1,2
CPR20031001F197,FTSP,1,7
CPR20031001F197,MOPE,1,1
CPR20031001F197,NOFU,1,1
CPR20031001F198,FTSP,1,1
CPR20031001F199,MOPE,1,1
CPR20031001F200,FTSP,1,2
CPR20031001F200,NOFU,1,2
CPR20031001F201,LHSP,1,1
CPR20031001F201,NOFU,1,2
CPR20031001F202,FTSP,1,1
CPR20031001F202,LAAL,1,1
CPR20031001F202,NOFU,1,1
CPR20031001F203,NOFU,1,3
CPR20031001F204,FTSP,1,6
CPR20031001F205,LHSP,1,1
CPR20031001F205,NOFU,1,2
CPR20031001F206,LAAL,1,1
CPR20031001F207,FTSP,1,1
CPR20031001F207,NOFU,1,1
CPR20031001F208,FTSP,1,1
CPR20031002F213,BFAL,1,1
CPR20031002F213,LHSP,1,3
CPR20031002F213,NOFU,1,1
CPR20031002F214,FTSP,1,1
CPR20031002F214,LHSP,1,1
CPR20031002F214,NOFU,1,4
CPR20031002F215,FTSP,1,1
CPR20031002F215,LHSP,1,1
CPR20031002F216,FTSP,1,2
CPR20031002F216,NOFU,1,1
CPR20031002F217,FTSP,1,2
CPR20031002F217,NOFU,1,3
CPR20031002F217,SOSH,1,2
CPR20031002F218,FTSP,1,2
CPR20031002F218,NOFU,1,1
CPR20031002F219,FTSP,1,3
CPR20031002F219,LHSP,1,1
CPR20031002F219,NOFU,1,4
CPR20031002F220,BFAL,1,1
CPR20031002F220,FTSP,1,1
CPR20031002F220,LHSP,1,3
CPR20031002F220,NOFU,1,3
CPR20031002F221,BFAL,1,1
CPR20031002F221,LHSP,1,2
CPR20031002F221,NOFU,1,1
CPR20031002F222,FTSP,1,2
CPR20031002F222,LEAU,1,1
CPR20031002F222,LHSP,1,6
CPR20031002F223,SOSH,1,1
CPR20031002F224,FTSP,1,2
CPR20031002F224,NOFU,1,1
CPR20031002F224,SOSH,1,1
CPR20031002F225,UNBI,1,1
CPR20031002F225,FTSP,1,3
CPR20031002F225,LHSP,1,6
CPR20031002F226,FTSP,1,1
CPR20031002F226,LHSP,1,2
CPR20031002F226,MOPE,1,1
CPR20031002F226,NOFU,1,1
CPR20031002F227,FTSP,1,2
CPR20031002F227,LHSP,1,2
CPR20031002F228,FTSP,1,2
CPR20031002F228,NOFU,1,1
CPR20031002F230,MOPE,1,1
CPR20031002F230,NOFU,1,4
CPR20031002F230,SOSH,1,1
CPR20031002F231,NOFU,1,1
CPR20031002F232,LHSP,1,1
CPR20031002F232,NOFU,1,3
CPR20031002F233,ALTE,1,1
CPR20031002F233,FTSP,1,2
CPR20031002F233,NOFU,1,1
CPR20031002F234,FTSP,1,2
CPR20031002F234,LHSP,1,3
CPR20031002F234,NOFU,1,1
CPR20031002F234,SOSH,1,1
CPR20031002F235,FTSP,1,1
CPR20031002F235,NOFU,1,5
CPR20031002F235,SOSH,1,2
CPR20031002F236,LHSP,1,1
CPR20031002F236,NOFU,1,2
CPR20031002F236,SOSH,1,1
CPR20031002F237,LHSP,1,1
CPR20031002F237,NOFU,1,1
CPR20031002F239,NOFU,1,1
CPR20031002F240,LHSP,1,1
CPR20031002F240,NOFU,1,3
CPR20031002F240,SOSH,1,1
CPR20031002F241,NOFU,1,3
CPR20031002F241,SOSH,1,1
CPR20031002F242,FTSP,1,1
CPR20031002F242,HOPU,1,1
CPR20031002F242,LHSP,1,2
CPR20031002F242,NOFU,1,4
CPR20031002F242,SOSH,1,2
CPR20031002F243,BLKI,1,1
CPR20031002F243,LAAL,1,1
CPR20031002F243,NOFU,1,5
CPR20031002F243,SOSH,1,1
CPR20031002F243,STSH,1,2
CPR20031002F244,FTSP,1,1
CPR20031002F244,HOPU,1,1
CPR20031002F244,NOFU,1,3
CPR20031002F245,NOFU,1,3
CPR20031002F245,STSH,1,1
CPR20031002F246,BFAL,1,1
CPR20031002F246,NOFU,1,2
CPR20031002F247,NOFU,1,1
CPR20031002F247,POJA,1,1
CPR20031002F247,SOSH,1,1
CPR20031002F247,STSH,1,1
CPR20031002F248,FTSP,1,1
CPR20031002F248,NOFU,1,11
CPR20031002F248,SOSH,1,1
CPR20031002F248,TUPU,1,1
CPR20031002F249,LAAL,1,1
CPR20031002F249,NOFU,1,10
CPR20031002F249,SOSH,1,2
CPR20031002F250,FTSP,1,2
CPR20031002F250,NOFU,1,11
CPR20031002F250,PAAU,1,1
CPR20031002F251,FTSP,1,1
CPR20031002F251,LAAL,1,1
CPR20031002F251,NOFU,1,7
CPR20031002F252,FTSP,1,4
CPR20031002F252,NOFU,1,15
CPR20031002F253,NOFU,1,7
CPR20031002F254,FTSP,1,1
CPR20031002F254,NOFU,1,10
CPR20031002F254,SOSH,1,1
CPR20031002F255,BFAL,1,1
CPR20031002F255,FTSP,1,2
CPR20031002F255,LHSP,1,1
CPR20031002F255,NOFU,1,15
CPR20031002F256,NOFU,1,9
CPR20031002F256,RTLO,1,1
CPR20031002F256,UNSP,1,1
CPR20031002F257,FTSP,1,1
CPR20031002F257,NOFU,1,8
CPR20031002F258,BLKI,1,1
CPR20031002F258,NOFU,1,3
CPR20031002F259,NOFU,1,7
CPR20031002F260,NOFU,1,15
CPR20031002F260,PAAU,1,3
CPR20031002F260,TUPU,1,2
CPR20031002F261,FTSP,1,1
CPR20031002F261,NOFU,1,5
CPR20031002F262,BLKI,1,1
CPR20031002F262,NOFU,1,20
CPR20031002F263,BFAL,1,1
CPR20031002F263,BLKI,1,1
CPR20031002F263,NOFU,1,2
CPR20031002F264,FTSP,1,1
CPR20031002F264,LAAL,1,1
CPR20031002F264,NOFU,1,16
CPR20031002F265,LHSP,1,1
CPR20031002F265,NOFU,1,18
CPR20031002F266,FTSP,1,1
CPR20031002F266,LHSP,1,1
CPR20031002F266,NOFU,1,21
CPR20031002F266,PAAU,1,1
CPR20031002F267,BFAL,1,1
CPR20031002F267,FTSP,1,1
CPR20031002F267,NOFU,1,15
CPR20031002F268,FTSP,1,2
CPR20031002F268,NOFU,1,7
CPR20031002F268,SOSH,1,1
CPR20031002F269,LHSP,1,1
CPR20031002F269,NOFU,1,14
CPR20031002F269,SOSH,1,1
CPR20031002F270,BFAL,1,2
CPR20031002F270,GWGU,1,2
CPR20031002F270,LAAL,1,1
CPR20031002F270,NOFU,1,17
CPR20031002F271,ANMU,1,3
CPR20031002F271,NOFU,1,9
CPR20031002F271,PAAU,1,3
CPR20031002F272,CAAU,1,2
CPR20031002F272,FTSP,1,1
CPR20031002F272,NOFU,1,15
CPR20031002F273,CAAU,1,2
CPR20031002F273,FTSP,1,4
CPR20031002F273,LHSP,1,1
CPR20031002F273,LAAL,1,1
CPR20031002F273,NOFU,1,17
CPR20031002F274,BLKI,1,3
CPR20031002F274,FTSP,1,4
CPR20031002F274,LHSP,1,6
CPR20031002F274,LAAL,1,1
CPR20031002F274,NOFU,1,18
CPR20031002F274,RTLO,1,1
CPR20031002F274,UNSA,1,1
CPR20031002F275,BFAL,1,1
CPR20031002F275,FTSP,1,25
CPR20031002F275,LHSP,1,12
CPR20031002F275,LAAL,1,1
CPR20031002F275,NOFU,1,11
CPR20031002F275,STSH,1,1
CPR20031002F276,FTSP,1,26
CPR20031002F276,LHSP,1,2
CPR20031002F276,NOFU,1,20
CPR20031002F276,PAAU,1,2
CPR20031002F276,SOSH,1,3
CPR20031002F276,STSH,1,1
CPR20031002F277,DKSH,1,1
CPR20031002F277,FTSP,1,10
CPR20031002F277,LHSP,1,2
CPR20031002F277,NOFU,1,10
CPR20031002F277,STSH,1,1
CPR20031002F279,FTSP,1,4
CPR20031002F279,NOFU,1,25
CPR20031002F280,BLKI,1,1
CPR20031002F280,FTSP,1,20
CPR20031002F280,NOFU,1,21
CPR20031002F281,BFAL,1,1
CPR20031002F281,FTSP,1,6
CPR20031002F281,NOFU,1,20
CPR20031002F281,PAAU,1,1
CPR20031002F282,FTSP,1,3
CPR20031002F282,LHSP,1,1
CPR20031002F282,NOFU,1,17
CPR20031002F283,CAAU,1,1
CPR20031002F283,NOFU,1,17
CPR20031002F283,SOSH,1,2
CPR20031002F284,ALTE,1,1
CPR20031002F284,BLKI,1,2
CPR20031002F284,GWGU,1,1
CPR20031002F284,NOFU,1,9
CPR20031002F285,FTSP,1,1
CPR20031002F285,NOFU,1,21
CPR20031002F285,RTLO,1,1
CPR20031002F286,FTSP,1,3
