"GIS key",Species,Behavior,Count
NMF20100530F9,NOFU,1,1
NMF20100530F9,WEGU,1,1
NMF20100530F8,BFAL,1,1
NMF20100530F7,PFSH,1,1
NMF20100530F5,BFAL,1,1
NMF20100530F45,BFAL,1,1
NMF20100530F45,SOSH,1,1
NMF20100530F45,PFSH,1,1
NMF20100530F45,SOSH,1,1
NMF20100530F45,PFSH,1,1
NMF20100530F42,SOSH,1,1
NMF20100530F40,WEGU,1,1
NMF20100530F4,BFAL,1,1
NMF20100530F4,SOSH,1,1
NMF20100530F39,BFAL,1,1
NMF20100530F38,BFAL,1,1
NMF20100530F37,BFAL,1,1
NMF20100530F37,RHAU,2,1
NMF20100530F37,COMU,2,1
NMF20100530F36,LTJA,1,1
NMF20100530F36,SAGU,1,3
NMF20100530F35,NFSE,2,1
NMF20100530F33,NOFU,1,1
NMF20100530F3,SOSH,1,1
NMF20100530F3,SOSH,1,1
NMF20100530F28,SOSH,1,1
NMF20100530F26,POJA,1,1
NMF20100530F20,PFSH,1,1
NMF20100530F20,LAAL,1,1
NMF20100530F20,SOSH,1,1
NMF20100530F2,UNGU,1,1
NMF20100530F2,UNGU,1,3
NMF20100530F17,PFSH,1,1
NMF20100530F16,PFSH,1,1
NMF20100530F16,LAAL,1,1
NMF20100530F16,COPE,1,1
NMF20100530F15,SOSH,2,2
NMF20100530F15,BFAL,1,1
NMF20100530F15,SOSH,1,1
NMF20100530F14,HUWH,2,2
NMF20100530F13,SOSH,1,1
NMF20100530F13,SOSH,1,1
NMF20100530F13,PFSH,1,2
NMF20100530F12,SOSH,1,1
NMF20100530F12,PFSH,1,1
NMF20100528F9,SOSH,1,2
NMF20100528F9,PFSH,2,1
NMF20100528F9,SOSH,2,3
NMF20100528F9,SOSH,2,3
NMF20100528F9,SOSH,1,1
NMF20100528F9,SOSH,1,3
NMF20100528F9,SOSH,1,2
NMF20100528F9,SOSH,1,1
NMF20100528F8,CAGU,1,1
NMF20100528F8,WEGU,1,3
NMF20100528F8,PFSH,1,1
NMF20100528F8,WEGU,1,1
NMF20100528F8,SOSH,1,5
NMF20100528F8,PFSH,1,2
NMF20100528F8,WEGU,2,1
NMF20100528F8,PFSH,1,1
NMF20100528F8,PFSH,2,3
NMF20100528F7,CAAU,2,2
NMF20100528F7,WEGU,2,1
NMF20100528F7,SOSH,1,3
NMF20100528F7,WEGU,1,3
NMF20100528F7,WEGU,1,6
NMF20100528F7,WEGU,1,1
NMF20100528F7,WEGU,1,4
NMF20100528F6,WEGU,1,1
NMF20100528F6,WEGU,1,2
NMF20100528F6,SOSH,2,2
NMF20100528F6,PFSH,2,4
NMF20100528F6,WEGU,2,9
NMF20100528F6,WEGU,2,1
NMF20100528F6,SOSH,1,2
NMF20100528F5,PFSH,1,2
NMF20100528F5,WEGU,1,3
NMF20100528F5,HEEG,1,1
NMF20100528F5,PFSH,1,5
NMF20100528F5,SOSH,1,25
NMF20100528F5,WEGU,1,5
NMF20100528F5,PFSH,1,3
NMF20100528F5,PFSH,1,4
NMF20100528F5,WEGU,1,4
NMF20100528F5,SOSH,1,15
NMF20100528F5,WEGU,1,2
NMF20100528F5,SOSH,1,25
NMF20100528F4,SOSH,1,4
NMF20100528F4,SOSH,1,3
NMF20100528F4,SOSH,1,7
NMF20100528F4,CAAU,2,1
NMF20100528F4,SOSH,1,4
NMF20100528F35,SOSH,1,2
NMF20100528F34,SOSH,2,70
NMF20100528F34,SOSH,2,30
NMF20100528F34,WEGU,1,1
NMF20100528F34,SOSH,2,60
NMF20100528F34,SOSH,2,35
NMF20100528F34,SOSH,1,3
NMF20100528F34,SOSH,1,4
NMF20100528F34,WEGU,1,1
NMF20100528F34,SOSH,1,1
NMF20100528F34,SOSH,1,6
NMF20100528F33,SOSH,1,2
NMF20100528F33,SOSH,1,3
NMF20100528F33,SOSH,1,1
NMF20100528F32,SOSH,1,1
NMF20100528F32,WEGU,1,1
NMF20100528F32,SOSH,1,2
NMF20100528F32,SOSH,1,2
NMF20100528F32,SOSH,1,5
NMF20100528F30,WEGU,1,1
NMF20100528F30,COMU,1,1
NMF20100528F30,SOSH,1,1
NMF20100528F30,SOSH,2,1
NMF20100528F3,SOSH,1,7
NMF20100528F3,SOSH,1,1
NMF20100528F3,SOSH,1,2
NMF20100528F3,SOSH,2,1
NMF20100528F3,DAPO,2,2
NMF20100528F3,SOSH,2,1
NMF20100528F3,SOSH,2,4
NMF20100528F3,SOSH,1,1
NMF20100528F3,SOSH,1,1
NMF20100528F29,SOSH,1,1
NMF20100528F29,SOSH,2,8
NMF20100528F23,WEGU,1,1
NMF20100528F21,BFAL,1,1
NMF20100528F20,NRWD,2,6
NMF20100528F20,WEGU,2,1
NMF20100528F20,NOFU,2,1
NMF20100528F2,CAAU,2,3
NMF20100528F2,SOSH,2,2
NMF20100528F16,SOSH,1,2
NMF20100528F16,BFAL,1,1
NMF20100528F15,PFSH,1,1
NMF20100528F12,SOSH,1,1
NMF20100528F12,WEGU,1,1
NMF20100528F10,UNGU,2,1
NMF20100528F10,WEGU,2,2
NMF20100528F10,NOFU,2,1
NMF20100528F10,WEGU,2,1
NMF20100528F10,NOFU,1,1
NMF20100528F10,PFSH,1,1
NMF20100528F10,SOSH,1,6
NMF20100528F10,PFSH,2,3
NMF20100528F10,PFSH,1,2
NMF20100528F10,SOSH,1,6
NMF20100528F10,PFSH,1,1
NMF20100528F10,CAGU,1,2
NMF20100528F10,PFSH,2,1
NMF20100528F10,SOSH,1,3
NMF20100528F10,SOSH,2,1
NMF20100528F10,SOSH,1,5
NMF20100528F1,PIGU,1,1
NMF20100527F9,WEGU,1,1
NMF20100527F8,WEGU,2,2
NMF20100527F8,WEGU,1,1
NMF20100527F6,BLSP,1,2
NMF20100527F6,RHAU,2,1
NMF20100527F54,SOSH,1,1
NMF20100527F51,DAPO,2,8
NMF20100527F5,WEGU,1,1
NMF20100527F5,WEGU,1,3
NMF20100527F5,PFSH,1,1
NMF20100527F5,WEGU,1,1
NMF20100527F5,REPH,2,1
NMF20100527F45,NOFU,2,1
NMF20100527F45,REPH,2,120
NMF20100527F45,REPH,1,10
NMF20100527F44,REPH,2,50
NMF20100527F43,DAPO,2,4
NMF20100527F42,NOFU,2,1
NMF20100527F42,UNWH,2,3
NMF20100527F41,FIWH,2,1
NMF20100527F41,HUWH,2,1
NMF20100527F41,HUWH,2,3
NMF20100527F40,REPH,2,3
NMF20100527F40,REPH,2,6
NMF20100527F40,SAGU,2,1
NMF20100527F40,SAGU,2,1
NMF20100527F40,REPH,2,10
NMF20100527F40,REPH,2,5
NMF20100527F40,REPH,2,30
NMF20100527F40,REPH,2,15
NMF20100527F4,BLSP,1,1
NMF20100527F4,LHSP,1,1
NMF20100527F4,SOSH,1,1
NMF20100527F39,REPH,1,30
NMF20100527F39,HUWH,2,2
NMF20100527F39,REPH,2,20
NMF20100527F39,REPH,2,6
NMF20100527F39,REPH,2,3
NMF20100527F39,REPH,2,2
NMF20100527F39,REPH,1,1
NMF20100527F38,REPH,2,5
NMF20100527F38,PFSH,2,2
NMF20100527F38,REPH,1,8
NMF20100527F38,SAGU,2,14
NMF20100527F37,REPH,2,11
NMF20100527F36,SOSH,2,1
NMF20100527F36,PFSH,2,3
NMF20100527F36,REPH,1,4
NMF20100527F36,REPH,2,2
NMF20100527F36,REPH,1,1
NMF20100527F35,NOFU,1,1
NMF20100527F34,FIWH,2,3
NMF20100527F33,FIWH,2,1
NMF20100527F33,REPH,1,2
NMF20100527F33,PFSH,1,1
NMF20100527F33,REPH,2,3
NMF20100527F32,ARTE,2,3
NMF20100527F32,SAGU,2,1
NMF20100527F32,SOSH,2,40
NMF20100527F32,PFSH,2,30
NMF20100527F32,WEGU,1,1
NMF20100527F32,WEGU,1,1
NMF20100527F30,SOSH,1,2
NMF20100527F30,SOSH,1,1
NMF20100527F3,SHOS,1,1
NMF20100527F29,WEGU,1,1
NMF20100527F29,ASSP,1,1
NMF20100527F29,BLSP,1,1
NMF20100527F29,SOSH,1,1
NMF20100527F29,PFSH,2,2
NMF20100527F28,PFSH,1,1
NMF20100527F28,SOSH,1,2
NMF20100527F28,SOSH,2,2
NMF20100527F28,PFSH,2,3
NMF20100527F28,REPH,2,20
NMF20100527F28,COPE,1,1
NMF20100527F28,SOSH,1,1
NMF20100527F28,PFSH,1,1
NMF20100527F28,REPH,2,22
NMF20100527F27,RHAU,2,1
NMF20100527F27,RHAU,2,1
NMF20100527F27,BLSP,2,2
NMF20100527F27,PFSH,2,5
NMF20100527F27,SOSH,2,50
NMF20100527F27,SOSH,2,2
NMF20100527F27,PFSH,2,3
NMF20100527F27,SOSH,2,60
NMF20100527F27,PFSH,2,30
NMF20100527F26,BLSP,1,3
NMF20100527F26,PFSH,2,3
NMF20100527F26,SOSH,2,18
NMF20100527F26,ASSP,1,2
NMF20100527F26,BLSP,1,15
NMF20100527F26,REPH,2,20
NMF20100527F26,PFSH,2,2
NMF20100527F26,SOSH,2,2
NMF20100527F25,REPH,1,12
NMF20100527F25,BLSP,1,8
NMF20100527F25,REPH,2,3
NMF20100527F25,PFSH,1,6
NMF20100527F25,SOSH,1,4
NMF20100527F25,ASSP,1,6
NMF20100527F25,BLSP,1,40
NMF20100527F25,ASSP,1,4
NMF20100527F25,BLSP,1,12
NMF20100527F25,SOSH,1,1
NMF20100527F24,PFSH,1,10
NMF20100527F24,SOSH,1,30
NMF20100527F23,NOFU,1,1
NMF20100527F23,SOSH,2,10
NMF20100527F23,SOSH,1,1
NMF20100527F23,PFSH,1,1
NMF20100527F23,SOSH,2,13
NMF20100527F22,WEGU,1,1
NMF20100527F22,WEGU,1,1
NMF20100527F22,UNWH,2,1
NMF20100527F22,PFSH,2,5
NMF20100527F22,SOSH,2,15
NMF20100527F21,WEGU,3,100
NMF20100527F21,CSLI,3,150
NMF20100527F21,SBCD,3,100
NMF20100527F21,PWSD,3,300
NMF20100527F21,SOSH,3,250
NMF20100527F21,PFSH,3,200
NMF20100527F20,SOSH,1,1
NMF20100527F20,WEGU,2,1
NMF20100527F18,NOFU,1,1
NMF20100527F17,WEGU,1,1
NMF20100527F17,COPE,1,1
NMF20100527F16,CSLI,2,1
NMF20100527F16,REPH,2,4
NMF20100527F15,PFSH,1,1
NMF20100527F15,SOSH,1,1
NMF20100527F15,BLSP,1,1
NMF20100527F14,WEGU,2,1
NMF20100527F13,NOFU,1,1
NMF20100527F13,WEGU,1,1
NMF20100527F13,WEGU,1,1
NMF20100527F12,WEGU,2,1
NMF20100527F12,PFSH,1,1
NMF20100527F12,WEGU,1,1
NMF20100527F11,RHAU,2,2
NMF20100527F11,WEGU,1,5
NMF20100527F11,WEGU,1,1
NMF20100527F10,PFSH,2,1
NMF20100527F10,SOSH,1,1
NMF20100527F10,SOSH,1,2
NMF20100527F1,PFSH,1,1
NMF20100526F9,BLSP,1,2
NMF20100526F8,BLSP,1,1
NMF20100526F7,ELTE,1,1
NMF20100526F6,BLSP,1,1
NMF20100526F5,WEGU,1,1
NMF20100526F4,BLSP,1,1
NMF20100526F4,BLSP,1,1
NMF20100526F37,XCMU,2,1
NMF20100526F37,BLSP,1,1
NMF20100526F36,REPH,2,6
NMF20100526F36,REPH,2,10
NMF20100526F35,RBTR,2,1
NMF20100526F33,RBTR,2,2
NMF20100526F32,CSLI,2,1
NMF20100526F31,BLSP,1,1
NMF20100526F3,BLSP,1,2
NMF20100526F28,RBTR,1,1
NMF20100526F26,BLSP,1,1
NMF20100526F21,BLSP,1,1
NMF20100526F19,ELTE,2,1
NMF20100526F17,BRBO,2,1
NMF20100526F14,BLSP,1,1
NMF20100526F13,ELTE,1,10
NMF20100525F9,SOSH,1,1
NMF20100525F9,PFSH,1,1
NMF20100525F8,SPSK,1,1
NMF20100525F8,SOSH,1,2
NMF20100525F42,PFSH,1,1
NMF20100525F40,RNPH,1,4
NMF20100525F4,SOSH,2,9
NMF20100525F4,SOSH,1,1
NMF20100525F4,WEGU,1,1
NMF20100525F38,PFSH,2,1
NMF20100525F36,REPH,2,1
NMF20100525F34,WEGU,1,1
NMF20100525F33,REPH,2,1
NMF20100525F33,PFSH,2,1
NMF20100525F30,UNGU,2,1
NMF20100525F3,SOSH,1,1
NMF20100525F3,BLSP,1,1
NMF20100525F3,WEGU,1,2
NMF20100525F3,BLSP,1,1
NMF20100525F29,WEGU,1,1
NMF20100525F26,WEGU,1,1
NMF20100525F26,SOSH,1,1
NMF20100525F25,PFSH,1,1
NMF20100525F24,WEGU,1,1
NMF20100525F24,WEGU,1,1
NMF20100525F23,WEGU,1,1
